Supplemental Table S3.  Species-level OTU table generated by MetaPhlAn2 analysis. Sample numbers in red correspond to the caries group and sample numbers in black correspond to the healthy group.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
species,SC01,SC05,SC07,SC09,SC10,SC11,SC15,SC16,SC18,SC20,SC21,SC22,SC25,SC26,SC27,SC31,SC32,SC34,SC36,SC37,SC38,SC39,SC40,SC17,SC19,SC23,SC24,SC28,SC29,SC30,SC33,SC35,SC41,SC42,SC43,SC44,SC45,SC46,SC47,SC48,SC49,SC50,SC51,SC53,SC54,SC55,SC56
Campylobacter_rectus ,0,0,0,0,0,0,0,0,0,143.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.332,0,0,0,1456.23,0,0,0,0,0,0,0,0,0,0,0,0,0,72.7374,0,0,0
Campylobacter_showae ,0,339.39,2329.12,144.449,0,36.4287,0,0,0,21069.7,2558.02,605.6,0,0,1112.59,0,0,0,1354,0,341.809,444.607,0,1034.21,748.512,3889.23,9917.53,1974.08,181.645,3253.88,1732.69,0,898.818,0,443.39,744.027,2998.4,1418.04,3861.15,3279.83,0,347.691,7709.81,1440.35,4274.35,0,2199.45
candidate_division_TM7_single_cell_isolate_TM7b ,72562.2,3989.58,411273,104913,206843,55194.3,86498.2,215992,1071.73,0,4734.52,88092.7,620.827,19848.5,50256.1,16560.6,16942.4,986.006,23508.4,6616.85,25194,10015.2,34843.9,57351.8,120995,215510,94388.3,4588.18,35479.2,57434.5,288473,0,20827.9,13903.3,2431.3,112.493,0,12504.2,0,26279.5,8595.03,71986.6,35318.7,3011.02,0,19853.5,9987.25
candidate_division_TM7_single_cell_isolate_TM7c ,72608,4273.13,423139,118511,221120,65710.7,94573.4,280876,1103.71,93.1948,7265.33,102206,1636.25,19997.6,50410.3,18147.7,17959,2003.02,25652.2,9537.47,22701.3,13161.5,37465.5,70387.6,148929,252957,95689.7,6181.76,38967.6,49638.2,272801,0,31031.2,12855.4,2373.33,406.294,0,15933.3,0,28533.2,10576.7,71905.8,58220.3,4382.86,62.981,24791.6,7590.51
Candidatus_Prevotella_conceptionensis ,0,0,1939.36,0,968.014,0,0,0,0,0,0,0,0,0,0,0,0,0,2554.25,0,1800.54,160.754,0,3050.19,0,101.095,0,0,0,1546.81,1550.46,0,516.342,0,0,0,0,769.74,0,926.413,0,0,0,571.385,0,0,220.087
Capnocytophaga_gingivalis ,618.496,1112.91,1987,135.439,1976.14,427.859,0,100.903,0,7855.82,5080.02,579.197,239.702,0,703.896,455.846,0,0,1731.44,0,1822.36,1551.78,34.1267,0,5453.66,1019.51,6895.35,5184.27,0,616.248,8553.3,0,289.175,265.613,2863.35,3413.63,786.779,1880.55,4670.83,5713.85,1168.33,132.504,6906.05,4081.91,13872.5,665.077,4008.57
Capnocytophaga_granulosa ,0,700.387,1339.44,0,0,0,0,164.097,0,1749.58,0,0,0,0,0,0,0,0,249.9,0,1520.03,0,0,388.772,2242.33,230.597,1115.94,0,0,591.474,853.748,0,0,347.995,0,277.55,0,1964.53,0,1335.27,0,219.692,86.8731,248.117,2090.58,897.433,0
Capnocytophaga_ochracea ,0,708.199,215.768,504.943,319.846,567.502,1054.73,0,0,106.131,121.683,200.285,0,0,0,0,0,0,141.059,26.9398,496.924,1493.85,0,1148,531.735,2699.28,266.474,1910.51,311.447,2436.35,6440.91,0,520.206,602.671,0,226.509,703.724,1540.77,61.3847,357.414,0,0,451.886,801.576,695.361,113.933,1295.59
Capnocytophaga_unclassified ,8421.77,4201,9382.21,4005.06,7549.77,3551.08,2664.28,2957.12,917.693,32410.7,2141.62,8216.02,3254.18,1713.93,5433.23,2440.43,1856.88,1132.24,7578.12,6024.79,13712.8,13102.9,4815.23,8887.71,25985,14425.5,27602,17869,4566.64,20155,18286.7,0,4771.68,17869.8,14513.2,8423.75,9586.7,20762,7553.28,25035.4,1278.1,21921.2,49657.1,9968.81,19216.9,26225.6,34018.8
Cardiobacterium_hominis ,0,0,143.93,0,0,0,0,0,0,1025.14,0,0,0,0,0,0,0,0,0,0,279.113,0,0,0,453.628,246.262,286.764,1927.1,0,1009.92,2085.44,0,0,849.392,0,940.064,2160.56,1869.18,0,1503.9,0,0,2377.7,0,173.519,0,4311.28
Catonella_morbi ,160.885,117.341,5167.47,150.844,1496.06,2443.94,324.725,325.333,47.768,1411.12,387.086,71.9871,0,164.156,2105.96,0,361.398,260.355,666.733,0,577.732,3136.14,0,2984.02,3472.3,2515.05,590.605,2263.38,560.447,2666.28,1300.84,183.26,1277.43,93.7456,0,210.765,2364.27,4882.25,523.004,3410.81,675.288,0,318.292,0,1186.36,253.683,8331.97
Centipeda_periodontii ,0,0,210.163,0,0,0,431.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705.785,0,0,234.665,135.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium_durum ,0,33.5734,0,0,243.141,0,0,0,0,511.119,0,0,0,0,0,312.954,0,0,185.964,0,0,254.164,0,156.379,0,0,0,781.588,0,3589.88,2733.52,0,339.785,7497.38,741.646,138.648,1071.3,870.77,936.899,5315.08,0,0,1837.48,1961.5,131.746,818.578,1113.97
Corynebacterium_matruchotii ,49.3574,399.557,18136.7,0,0,52.6787,1265.35,0,0,899.739,0,275.16,25.0435,0,75.9825,123.169,0,0,5183.46,24.3783,2681.76,314.99,0,704.734,527.518,829.229,0,472.024,225.239,3333.62,2278.81,0,154.729,2867.34,0,7962.1,3169,7524.28,103.021,3565.66,835.417,1097.14,0,581.209,1073.25,952.996,1730.78
Cryptobacterium_curtum ,367.487,0,0,404.768,4674.05,3214.47,1253.75,1850.05,0,856.97,0,1543.7,0,331.455,1140.42,0,715.713,384.375,7924.67,204.654,0,7166.57,0,517.446,0,0,0,0,2169.33,0,0,0,0,22.016,0,0,0,0,0,0,0,6938.45,0,0,0,0,0
Dialister_invisus ,3363.29,263.269,4021.38,1971.43,24000.6,37195.5,4209.62,4167.69,3440.98,6157.72,1664.47,9785.92,0,242.809,11019.5,0,2793.56,1740.9,18299.8,8043.42,420.295,49081.3,6520.79,7894.03,3611.48,4837.52,0,0,6134.09,3478.78,27357.4,597.697,5874.48,4739.12,1216.88,860.328,14103.1,9942.79,42851.8,9677.76,1577.18,10813.7,0,3681.08,309.121,10368.2,7861.88
Eikenella_corrodens ,0,0,1707.29,0,244.174,0,0,0,0,0,176.871,856.626,0,0,0,0,0,0,372.262,0,1142.69,1184.65,868.939,698.781,982.327,342.971,1391.89,1326.4,0,937.146,967.425,0,0,377.113,172.939,0,313.14,1258.61,0,988.987,0,0,5523.38,416.602,583.538,0,1407.42
Enhydrobacter_aerosaccus ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escherichia_coli ,0,0,0,375.413,0,241.072,698.945,108493,3385.85,0,0,0,0,0,0,0,0,0,0,0,0,0,2044.76,0,0,0,0,883.24,0,235.738,928.165,0,0,0,0,0,0,0,0,0,0,465.355,0,0,0,0,0
Escherichia_unclassified ,397.626,0,0,0,0,0,109.553,0,0,0,0,810.216,0,0,0,0,0,0,0,0,0,404.056,0,0,804.519,400.411,0,731.222,404.527,0,2292.87,0,0,0,404.74,0,405.174,401.536,404.514,396.125,0,0,401.515,0,803.971,404.939,810.547
Eubacteriaceae_bacterium_ACC19a ,0,0,0,0,0,0,0,0,0,0,0,0,0,98.8805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacteriaceae_bacterium_CM5 ,0,0,0,0,0,0,0,0,0,0,0,0,0,162.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacteriaceae_bacterium_OBRC8 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2889.44,0,0,0,0
Eubacteriaceae_noname_unclassified ,0,0,0,0,0,95.8932,0,0,0,0,0,0,0,939.324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacterium_brachy ,16779.3,26020.7,37628.9,2889.76,8249,32944.7,6152.79,2577.96,2526.44,10305.3,3546.63,0,674.07,3425.52,5536.49,0,3106.3,4072,2107.87,1073.35,3978.41,48467.9,11447.7,0,4591.61,5772.65,787.417,0,5925.93,13810.6,57691,4847.59,13525.5,4225.65,793.113,6208.69,13157.5,16952.4,0,4486.24,5438.54,8665.25,0,997.898,0,1381.23,23412.6
Eubacterium_infirmum ,48901.3,0,26269.2,3533.83,65115.2,22765.6,25164.1,91.2804,28503.2,27444.2,21679.3,14488.2,9241.48,1764.3,15666,26963.1,52696.4,8270.01,17531,5672.81,5467.55,24118.1,47431.5,55023.8,15991.9,8848.94,11842.2,4668.95,48134.6,17518.2,133348,46935.9,61057,0,3752.89,8898.61,22314.3,5288.7,4240.32,21253.9,17889.6,14071.2,56901.9,3573.35,16702.2,8559.29,51531
Eubacterium_saphenum ,0,0,0,0,0,5408.05,0,0,79.3328,0,0,0,0,196.875,0,0,0,0,0,0,0,16768.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacterium_yurii ,0,0,0,0,0,0,719.862,0,0,1590.65,0,0,0,0,0,0,0,0,0,0,2507.61,0,0,29.3067,0,408.766,0,143.726,0,851.599,314.076,0,0,0,0,0,0,752.686,0,0,0,0,3121.59,0,304.622,0,861.829
Filifactor_alocis ,958.175,0,0,0,0,1657.33,0,0,0,0,187.219,0,0,1265.06,519.601,0,213.112,0,0,1798.07,0,7130.36,0,0,0,0,0,0,0,1230.95,134.186,0,0,0,0,0,5734.73,0,0,0,0,0,1106.72,0,0,0,0
Fretibacterium_fastidiosum ,0,0,0,0,0,0,0,0,0,27.7208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fusobacterium_necrophorum ,0,23839.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fusobacterium_nucleatum ,6615.93,10699.1,13410,3251.71,9092.14,8906.28,4873.56,5371.5,1913.67,16824.2,2020.13,1630.54,2523.29,3165.55,3118.69,5877.29,4173.86,2587.5,11586.7,3940.71,15344.5,29394,11227.4,10770.9,18431.7,17852.5,12097,7826.62,2942.45,37908.9,62101.5,2186.88,6110.92,18158.4,3282.39,9786.11,21282.3,33209.1,5182.98,21015.8,2546.62,12227.2,29919.4,11092.8,23939.8,16536,57360.8
Fusobacterium_periodonticum ,28032.1,0,16687.5,2976.18,20643.6,5000.73,3918.65,4401.48,3022.22,46194.8,21793.3,5127.59,9817.9,1763.57,8986.81,16106.1,9952.23,5136.51,35167.4,510.354,34090.6,1732.81,8883.03,20439.6,27740.5,13314,20260,7004.81,20046.1,12925.7,46690.7,20278.9,12454.2,888.595,13115,80009,70335.4,23361.7,18543.8,17287.9,14217.8,1554.54,61677.7,29268.6,32653.1,15166,105536
Gemella_bergeri ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1463.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.583
Gemella_haemolysans ,3007.74,1607.04,7388.84,117.613,1286.41,7728.06,819.06,674.591,2991.29,2995.96,2029.14,3283.36,1332.99,1956.33,8679.88,7762.66,2901.5,3119.2,5385.95,332.905,5302.45,30704.7,3835.38,7570.51,7318.61,10214.4,4686.12,11137.2,3272.94,6263.9,1957.7,2946.18,1024.57,8015.25,2220.99,1483.23,1919.25,6211.4,3622.19,20422.5,4578.87,11380.8,36822.5,143.32,7711.96,6700.72,4545.62
