Final Max Accuracy: 92.92230261088392% in 0:1:28
Test Config: lr: 0.01, linear: False, loss_fn: ce, optim: sgd
Epoch: 5650, Train loss: 5.039794434250358, Test Loss: 5.096769891749641, Accuracy: 92.2617175212331
Epoch: 5700, Train loss: 5.036477833789547, Test Loss: 5.093739380652472, Accuracy: 92.29317395407361
Epoch: 5750, Train loss: 5.033309140138436, Test Loss: 5.090875312291264, Accuracy: 92.32463038691412
Epoch: 5800, Train loss: 5.030276365331652, Test Loss: 5.088173069798672, Accuracy: 92.35608681975464
Epoch: 5850, Train loss: 5.027369639966774, Test Loss: 5.085610612709951, Accuracy: 92.38754325259517
Epoch: 5900, Train loss: 5.024579152446889, Test Loss: 5.083178338550019, Accuracy: 92.38754325259517
Epoch: 5950, Train loss: 5.021897214577651, Test Loss: 5.080868291295623, Accuracy: 92.38754325259517
Epoch: 6000, Train loss: 5.0193158527578765, Test Loss: 5.078669343834206, Accuracy: 92.38754325259517
Epoch: 6050, Train loss: 5.016829080319609, Test Loss: 5.076575073030689, Accuracy: 92.4504561182762
Epoch: 6100, Train loss: 5.014429477225131, Test Loss: 5.074579400127679, Accuracy: 92.4504561182762
Epoch: 6150, Train loss: 5.012112735962588, Test Loss: 5.072683527538773, Accuracy: 92.48191255111671
Epoch: 6200, Train loss: 5.009873264482923, Test Loss: 5.070867505857998, Accuracy: 92.48191255111671
Epoch: 6250, Train loss: 5.007706257272522, Test Loss: 5.069127976247048, Accuracy: 92.54482541679774
Epoch: 6300, Train loss: 5.005607029132728, Test Loss: 5.067460684536433, Accuracy: 92.57628184963825
Epoch: 6350, Train loss: 5.003571905648749, Test Loss: 5.065860968365149, Accuracy: 92.51336898395722
Epoch: 6400, Train loss: 5.001597531398793, Test Loss: 5.064327659617679, Accuracy: 92.48191255111671
Epoch: 6450, Train loss: 4.999680879132087, Test Loss: 5.062859943894406, Accuracy: 92.4504561182762
Epoch: 6500, Train loss: 4.997818259417636, Test Loss: 5.061448703057512, Accuracy: 92.4504561182762
Epoch: 6550, Train loss: 4.996006774403072, Test Loss: 5.060094511140363, Accuracy: 92.48191255111671
Epoch: 6600, Train loss: 4.994243933992108, Test Loss: 5.058793111745386, Accuracy: 92.51336898395722
