Sample_2	Sample_22	Sample_23	Sample_24	Sample_25	Sample_26	Sample_27	Sample_28	Sample_29	Sample_3	Sample_30	Sample_31	Sample_32	Sample_33	Sample_34	Sample_35	Sample_36	Sample_37	Sample_38	Sample_39	Sample_4	Sample_40	Sample_41	Sample_42	Sample_44	Sample_45	Sample_46	Sample_47	Sample_48	Sample_5	Sample_50	Sample_51	Sample_52	Sample_53	Sample_54	Sample_56	Sample_7	Sample_8	Sample_9	taxID
                  Treponema sp. OMZ 804	757	1035	594	2959	693	1865	582	228	223	2136	0	476	424	444	436	0	1564	2017	0	0	2444	535	808	0	0	0	387	593	2573	0	384	701	0	0	0	0	633	701	2429	120683
                  Treponema sp. OMZ 838	893	630	1272	1451	437	963	566	0	0	1213	0	0	0	469	734	0	252	873	0	0	2893	302	551	0	0	0	243	604	1539	0	353	680	0	0	0	0	220	839	429	1539298
                  Trueperella bialowiezensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	312285
                  Trueperella pyogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	537	1661
                  Tsukamurella paurometabola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	2061
                  Veillonella atypica	0	90656	823	9310	1989	2471	46136	25313	1717	34187	1957	1759	1617	178882	12997	8650	73549	4138	70460	1711	1035	5524	22097	1296	1607	6803	766	22673	22129	1628	79649	573	38331	3296	637	2281	12821	1748	21940	39777
                  Veillonella denticariosi	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	320	0	222	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419208
                  Veillonella dispar	336	13637	2399	17527	5932	9704	5224	28081	6294	7005	8105	3291	5942	11117	2599	39675	15843	14055	5743	6276	3030	21925	5027	6113	8200	28556	2601	2637	6433	7636	10931	0	15964	2005	2082	8255	3883	3927	14986	39778
                  Veillonella parvula	8066	194814	25402	462456	123102	264393	84075	0	162430	144394	195766	86265	149282	19224	30963	232600	285294	0	25882	171690	87577	0	115773	140003	168742	0	55018	31567	101496	182733	123667	2208	400950	39379	49674	249861	88843	66841	367844	29466
                  Veillonella rodentium	0	3158	691	5209	67979	2885	1537	8183	1519	1716	2946	11631	5616	1859	1424	69258	3872	38570	1278	2179	927	31773	3462	1504	1467	6444	779	589	3606	2752	2969	0	8852	19951	717	2515	1119	875	3771	248315
                  Waddlia chondrophila	0	0	0	298	395	288	212	0	0	0	0	0	0	0	0	0	0	258	0	208	0	0	0	0	348	0	239	203	699	0	0	0	0	0	0	0	0	0	232	71667
                  Xylanimonas allomyrinae	0	0	0	0	236	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	203	0	0	0	0	0	510	0	0	383	2509459
                  Xylanimonas cellulosilytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	318	0	0	0	0	0	287	0	0	403	186189
                [Haemophilus] ducreyi	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	730
                Achromobacter xylosoxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85698
                Actinobacillus equuli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	718
                Actinobacillus indolicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51049
                Actinobacillus pleuropneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	715
                Actinobacillus porcitonsillarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189834
                Actinobacillus succinogenes	0	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67854
                Actinobacillus suis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	716
                Aggregatibacter actinomycetemcomitans	3220	416	261	489	2924	0	1165	0	839	309	0	207	1318	1003	0	970	436	0	0	0	1445	403	205	296	0	399	665	0	0	554	0	0	0	0	655	0	0	1001	708	714
                Aggregatibacter aphrophilus	35115	3763	1986	7363	2259	2212	28573	300	7597	2410	902	2591	7552	11141	1735	17662	3490	0	1772	638	17696	1088	1687	3188	3705	4245	4279	0	0	389	1343	719	335	1150	5317	826	246	11893	4708	732
                Aggregatibacter segnis	141764	11623	886	14479	1617	5052	6370	432	22932	6832	772	1975	23501	49185	6759	8072	7619	0	3300	889	54224	1109	3272	6324	479	10216	7015	0	0	0	1763	2038	403	1420	13422	485	295	28798	6715	739
                Alcanivorax pacificus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1306787
                Avibacterium volantium	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	762
                Bibersteinia trehalosi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47735
                Bordetella petrii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94624
                Candidatus Gracilibacteria bacterium HOT-871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	496	0	296	0	0	0	1372	0	1540872
                Cardiobacterium hominis	8050	1186	25668	7308	8822	4726	43956	6525	52214	1359	8573	34599	28979	0	881	12185	6088	27223	11490	18722	33165	86240	4242	119642	397	21540	129241	3250	375	485	15255	28227	6724	24514	24739	13974	7135	187886	19572	2718
                Eikenella corrodens	22809	8666	7119	9033	13664	5072	11594	2602	6982	1274	6922	7378	14294	6422	522	34474	802	6130	2788	1514	5234	1807	2124	11255	6135	11461	23109	1279	0	47082	1290	2108	2539	5067	6194	2497	248	15943	8579	539
                Eikenella exigua	2418	1371	1022	1067	10421	768	1683	324	1225	211	986	1413	1880	1007	0	5514	0	1051	397	0	1035	532	390	1243	1051	1933	3644	0	0	6761	231	371	374	792	1860	426	0	2446	1467	2528037
                Escherichia coli	412	0	0	0	0	487	510	0	0	286	0	0	0	0	0	286	0	326	0	278	0	353	0	0	586	0	585	339	0	0	0	214	0	0	0	0	0	258	0	562
                Fretibacterium fastidiosum	20714	8707	6599	6619	4801	5087	10982	7037	749	10102	0	673	864	15710	41866	214	2410	11387	0	0	4901	342	718	0	0	0	0	5798	1774	0	921	38391	0	0	1672	0	869	1664	2339	651822
                Fusobacterium hwasookii	598	427	7478	20518	3488	933	17937	646	2271	392	329	4679	1001	0	1372	0	0	248	0	342	5233	910	1742	4268	617	2480	2056	2767	277	397	3345	919	961	663	2311	0	771	6190	895	1583098
                Fusobacterium necrophorum	982	0	376	912	459	0	586	1280	244	281	0	0	0	377	818	0	0	0	0	0	426	0	282	0	0	0	0	528	0	0	289	200	407	0	0	0	0	224	0	859
                Fusobacterium nucleatum	4620	4355	29071	115793	102162	18208	38551	19822	20919	10737	3243	42859	10407	1367	12528	364	4702	10894	633	6700	97130	37428	13843	53914	8006	37423	145695	29387	22495	7180	19430	5919	16255	5851	45186	2662	24136	61669	36322	851
                Fusobacterium periodonticum	0	0	288	1556	231	0	555	0	219	0	0	539	0	0	204	0	0	0	0	0	1154	0	251	268	0	1185	286	374	0	0	379	0	0	0	268	0	0	536	0	860
                Fusobacterium pseudoperiodonticum	563	1005	3260	15992	2780	1123	5997	1351	1898	447	0	4274	523	460	2071	626	0	0	0	0	12909	881	2085	2337	874	12290	1973	3249	383	273	2793	714	826	374	2593	0	539	4670	917	2663009
                Glaesserella parasuis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	738
                Haemophilus haemolyticus	3249	0	0	555	371	200	1499	0	457	215	0	0	306	362	0	24415	0	0	212	0	779	221	0	467	1724	944	748	0	0	0	0	0	0	0	452	315	0	851	580	726
                Haemophilus influenzae	5020	204	227	535	253	296	1442	464	714	357	235	0	354	1337	0	13774	310	0	0	0	1346	212	207	451	1361	1063	946	0	0	427	0	0	0	0	495	452	0	1205	687	727
                Haemophilus parahaemolyticus	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	3700	0	288	0	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	211	735
                Haemophilus parainfluenzae	10182	821	863	3965	5356	5343	12207	2484	1868	4185	6183	1731	1478	850	200	345232	2114	599	1209	258	3667	8528	330	3092	91029	45769	20829	218	222	1528	916	0	981	331	1156	16338	0	19683	7147	729
                Haemophilus pittmaniae	745	0	0	0	0	0	513	0	0	0	0	0	0	0	0	5061	0	0	0	0	400	0	0	0	1301	673	399	0	0	0	0	0	0	0	0	234	0	444	252	249188
                Histophilus somni	0	0	0	0	0	0	432	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	731
                Kingella kingae	0	1748	0	0	0	0	1112	264	582	0	569	227	0	0	0	1365	0	616	0	0	233	494	0	598	583	362	978	0	0	1630	200	0	394	368	652	1390	0	405	740	504
                Klebsiella pneumoniae	0	717	0	0	0	0	0	382	0	0	294	0	0	327	508	620	0	0	734	0	0	0	0	205	0	0	0	0	0	0	822	0	371	0	212	0	0	0	0	573
                Lautropia mirabilis	17237	4579	23424	24786	17031	4490	127776	1519	77108	59545	112635	76768	10106	0	385	271222	7997	64269	4086	1064	77953	102696	9902	57236	0	11225	36108	3902	5348	112982	7809	10849	6169	19513	1484	114313	1683	38649	155718	47671
                Leptotrichia buccalis	398	6226	36672	28336	673	10090	12357	6079	17668	1160	555	29626	10240	434	8831	0	5683	324	0	3939	32652	5045	8277	19492	0	2258	7811	16435	4057	352	9915	51381	3552	19331	33849	967	1437	2919	2823	40542
                Leptotrichia goodfellowii	818	0	341	1519	321	0	1052	0	5650	250	0	4670	822	0	202	0	775	206	0	496	7614	277	397	266	0	1259	44968	395	0	338	971	902	203	1615	3324	0	456	1365	2570	157692
                Leptotrichia hofstadii	0	1807	6382	21711	2462	3329	15223	5925	15479	2816	829	76020	2627	0	2261	0	7637	962	347	13414	38330	28339	16091	21084	0	4156	81152	6345	1729	549	9506	7541	6621	23974	47036	2810	1450	5192	10740	157688
                Leptotrichia hongkongensis	0	814	3233	9757	2870	1322	4482	2474	4536	1654	2275	50516	1037	0	1131	343	2059	3800	214	4494	8722	33070	8214	4535	0	3120	19765	3423	1216	1488	5930	4428	9397	56082	10764	12860	728	1305	4077	554406
                Leptotrichia shahii	0	1008	1823	3290	302	985	1414	3567	1796	1649	1261	6290	747	0	1019	0	393	0	0	13935	2299	2903	6384	2961	0	685	2225	12586	3857	216	13228	3416	17770	12852	2855	384	521	521	760	157691
                Leptotrichia trevisanii	438	1817	9338	25694	2074	3004	12192	3894	9172	1716	1051	34146	2253	276	3626	0	2278	931	217	5274	12639	11508	7951	7987	0	2667	15248	10271	4616	892	8807	19623	5595	21842	16418	3117	834	2183	3274	109328
                Leptotrichia wadei	249	9445	5004	12607	4160	10935	5248	44976	15568	18905	15305	44275	4167	440	8150	0	2528	706	1421	42404	6789	34380	55392	17532	0	4015	11612	164807	47141	1718	152379	10649	60159	80908	13098	2420	7766	4065	5654	157687
                Mannheimia granulomatis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85402
                Mannheimia varigena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85404
                Massilia flava	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	871742
                Neisseria animalis	0	463	0	0	0	0	719	0	263	0	243	0	0	0	0	2493	0	0	0	0	0	0	0	586	322	0	707	0	0	531	0	0	0	205	374	319	0	367	807	492
                Neisseria animaloris	0	412	0	0	0	0	545	0	0	0	0	0	0	0	0	1586	0	0	0	0	0	0	0	378	248	0	467	0	0	447	0	0	0	0	291	243	0	253	480	326522
                Neisseria brasiliensis	0	390	0	0	0	0	711	0	210	0	214	0	0	0	0	2898	0	0	0	0	0	0	0	669	250	0	737	0	0	425	0	0	0	0	263	266	0	340	602	2666100
                Neisseria canis	0	340	0	0	0	0	450	0	0	0	0	0	0	0	0	1625	0	0	0	0	0	0	0	386	267	0	421	0	0	413	0	0	0	0	233	331	0	209	392	493
                Neisseria chenwenguii	0	725	0	0	0	0	1160	0	335	0	265	210	0	0	0	3154	0	294	0	0	322	217	0	617	606	0	1107	0	0	540	0	0	0	322	435	443	0	599	1008	1853278
                Neisseria cinerea	218	1099	510	368	435	388	5753	454	680	0	763	253	607	0	0	14298	0	0	253	220	829	0	0	3830	0	0	3836	0	0	1569	0	0	0	217	756	304	0	2204	3931	483
                Neisseria elongata	2214	49840	4485	6737	21237	4120	80479	16004	10744	2077	4896	4655	9732	33897	308	160168	3750	3879	38655	43981	53246	2402	759	165168	2529	62300	188439	973	1002	0	2340	5400	2058	5230	81643	3214	315	105079	168217	495
                Neisseria flavescens	0	4905	533	323	1180	2154	3930	581	3771	378	867	213	6825	217	0	91061	0	217	844	469	4889	250	0	39867	233	0	10850	0	0	1652	250	0	0	354	6131	441	0	5665	3693	484
                Neisseria gonorrhoeae	548	882	692	1026	1424	845	4163	391	922	232	447	390	774	227	0	10983	217	659	338	3229	856	502	0	2849	1639	0	3841	497	0	2057	217	355	288	365	926	418	237	2035	3433	485
                Neisseria lactamica	367	1632	554	494	807	328	4244	705	1070	0	870	331	796	495	0	17704	0	220	412	520	1137	217	0	4780	340	0	5762	0	0	3648	0	0	218	401	1303	519	0	2873	5781	486
                Neisseria meningitidis	459	4700	1607	1541	2023	1254	15465	1890	2920	449	2168	1097	2717	726	0	61754	480	480	1164	982	3423	572	0	18569	531	0	14555	0	365	5977	383	324	726	1261	4323	1464	0	8334	14241	487
                Neisseria mucosa	7808	35073	25605	35550	16582	21866	0	44283	18196	6092	22230	14085	6606	2030	228	533257	5129	2781	4323	2054	20427	5612	884	109342	1376	0	277283	1159	2486	25917	2798	1204	9039	3979	14990	19083	363	159069	320466	488
                Neisseria perflava	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33053
                Neisseria pharyngis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29434
                Neisseria polysaccharea	0	651	257	256	307	0	2020	239	409	0	338	0	333	0	0	7882	0	0	0	0	516	0	0	1996	0	0	2114	0	0	1515	0	0	0	227	533	0	0	1008	2169	489
                Neisseria sicca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490
                Neisseria subflava	559	19931	1704	1601	4846	10035	18634	2333	16063	1557	2372	993	31319	775	0	361599	756	1155	2662	2216	22603	590	420	176491	633	0	50859	0	288	8569	975	771	535	1249	26534	1370	277	24166	15203	28449
                Neisseria weaveri	0	280	0	0	0	0	471	0	0	0	0	0	0	0	0	1256	0	0	0	0	0	0	0	347	0	0	422	0	0	279	0	0	0	0	0	0	0	261	405	28091
                Neisseria zalophi	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	777	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	223	640030
                Neisseria zoodegmatis	0	338	0	0	0	0	492	0	0	0	0	0	0	0	0	1500	0	0	0	0	202	0	0	316	269	0	511	0	0	323	0	0	0	0	245	267	0	200	464	326523
                Otariodibacter oris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1032623
                Pasteurella multocida	4175	585	3779	6093	0	5450	4819	365	2939	1186	264	1829	1539	515	436	1005	1661	5072	854	3467	1872	2654	846	0	5961	667	4982	4261	0	877	716	2365	293	708	288	1189	1986	965	4738	747
                Ralstonia pickettii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329
                Ralstonia solanacearum	0	1677	0	0	0	0	0	1003	0	0	559	0	2388	543	798	1158	3391	0	948	0	0	0	2450	432	0	1884	0	0	0	0	2194	0	833	2282	528	2997	0	2604	0	305
                Rodentibacter pneumotropicus	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	758
                Simonsiella muelleri	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	616	0	0	0	0	0	0	0	0	0	230	397	0	0	303	0	0	0	0	226	394	0	0	269	72
                Sneathia amnii	0	0	0	0	0	0	0	0	0	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447	0	0	283	0	0	0	0	0	0	0	0	187101
                Streptobacillus moniliformis	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34105
                Treponema denticola	2155	863	496	4314	3065	1463	1045	0	0	286	0	0	0	0	873	0	882	1396	0	0	1223	0	512	0	0	0	0	781	759	0	350	1303	0	0	0	0	335	283	0	158
                Treponema phagedenis	0	0	0	0	0	0	0	0	0	0	0	0	0	354	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162
                Treponema putidum	749	0	0	990	907	411	254	0	0	0	0	0	0	0	425	0	0	286	0	0	306	0	0	0	0	0	0	244	466	0	0	379	0	0	0	0	0	0	0	221027
                Variovorax paradoxus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34073
              Candidatus Saccharibacteria bacterium FS05P-B	2707	8023	1865	15225	1167	4634	4550	460	3701	4500	0	6910	8833	6149	7299	0	398	348	1942	3205	10762	0	300	8607	0	228	1059	1283	0	1555	1396	925	1017	0	6727	0	8634	3333	1545	2699178
              Candidatus Saccharibacteria bacterium FS07P-B	2781	7937	2061	30759	1158	4342	4446	437	3554	3694	0	6410	8767	6697	7681	0	354	459	2058	2979	9833	0	295	8585	0	235	1782	851	0	1578	1516	956	1007	0	6936	0	8643	3344	1412	2699179
              Candidatus Saccharibacteria bacterium FS13P	1783	5003	1352	9923	732	2847	2909	335	2300	1889	0	4417	5749	4218	6701	0	0	293	1348	3160	6876	0	0	5480	0	0	708	537	0	1304	816	533	477	0	3883	0	4962	3113	971	2699180
              Candidatus Saccharibacteria bacterium FS14P	6888	617	2095	1758	0	1012	3075	255	438	1863	0	2063	5585	827	10959	0	0	0	0	410	3872	0	0	1173	0	0	1299	459	0	239	415	596	220	0	2290	0	887	914	732	2699181
              Candidatus Saccharibacteria bacterium FS15P	1778	5461	2651	10010	873	3501	3232	387	2954	2673	0	5336	6318	4843	7842	0	265	248	1329	3866	7226	250	353	5911	0	0	1084	658	0	5373	1320	893	700	0	4147	0	5611	3535	1090	2699182
              Candidatus Saccharibacteria bacterium FS17P	6587	1061	2263	2033	0	928	2859	281	430	1352	0	1958	6005	966	11869	0	0	0	299	344	3763	0	0	1129	0	0	719	578	0	231	607	449	386	0	2277	0	1556	856	544	2699183
              Candidatus Saccharibacteria bacterium GW2011_GWC2_44_17	0	0	0	0	0	255	0	0	0	454	0	0	351	216	0	0	0	0	0	0	494	0	0	237	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	1619070
              Candidatus Saccharibacteria bacterium RAAC3_TM7_1	0	0	0	276	0	454	209	0	0	655	0	0	600	279	0	0	0	0	0	0	412	0	0	225	0	0	453	0	0	0	0	0	0	0	0	0	232	0	217	1394711
              Candidatus Saccharimonas aalborgensis	207	271	0	319	0	843	0	0	0	1276	0	0	1072	515	288	0	0	0	0	0	359	0	0	553	0	0	792	331	0	0	372	0	223	0	481	0	272	0	385	1332188
            Candidatus Saccharibacteria genomosp. TM7-H1	0	0	0	251	0	0	0	0	0	423	0	0	272	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	201	2080739
            TM7 phylum sp. oral taxon 488	2173	6396	1824	12666	1077	3828	3644	417	3266	4513	0	6789	7432	5587	5867	0	338	355	1716	2402	9560	0	232	6727	0	0	1075	941	0	1303	1370	951	945	0	5530	0	7558	2665	1351	713059
            TM7 phylum sp. oral taxon 955	5990	615	1966	2593	0	950	2867	232	398	787	0	2165	5083	689	9721	0	0	0	365	582	3564	0	0	1256	0	0	508	223	0	0	419	317	265	0	2150	0	1417	809	532	2572087
            TM7 phylum sp. oral taxon 957	1603	5245	1088	9694	491	4293	3480	1357	2361	4587	0	4745	10782	7521	4812	0	472	255	1415	1956	9236	0	247	5914	0	0	1414	1156	0	2016	1664	869	1142	0	5324	0	6476	2949	1837	2572088
        uncultured bacterium	5483	4012	4890	10298	12790	8523	7519	12004	4926	4744	1815	3354	3575	2980	2504	8755	4226	8057	0	5205	4317	7390	3064	2634	8738	4849	9043	7224	0	3882	5829	4027	5714	2489	3376	3632	3679	3062	9907	77133
